
2024/10/06 (02:52:02) | ===> btop++ v.1.4.0
2024/10/06 (02:52:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/06 (03:03:21) | ===> btop++ v.1.4.0
2024/10/06 (03:03:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/06 (03:11:53) | ===> btop++ v.1.4.0
2024/10/06 (03:11:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/06 (03:34:45) | ===> btop++ v.1.4.0
2024/10/06 (03:34:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/06 (11:52:28) | ===> btop++ v.1.4.0
2024/10/06 (11:52:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/06 (12:45:52) | ===> btop++ v.1.4.0
2024/10/06 (12:45:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/06 (14:04:19) | ===> btop++ v.1.4.0
2024/10/06 (14:04:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/06 (14:54:26) | ===> btop++ v.1.4.0
2024/10/06 (14:54:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/06 (14:55:44) | ===> btop++ v.1.4.0
2024/10/06 (14:55:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/06 (14:56:08) | ===> btop++ v.1.4.0
2024/10/06 (14:56:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/07 (00:12:36) | ===> btop++ v.1.4.0
2024/10/07 (00:12:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/07 (00:49:22) | ===> btop++ v.1.4.0
2024/10/07 (00:49:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/08 (17:00:44) | ===> btop++ v.1.4.0
2024/10/08 (17:00:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/09 (12:35:25) | ===> btop++ v.1.4.0
2024/10/09 (12:35:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/09 (17:36:30) | ===> btop++ v.1.4.0
2024/10/09 (17:36:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/09 (18:01:51) | ===> btop++ v.1.4.0
2024/10/09 (18:01:51) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/10/09 (18:01:58) | ===> btop++ v.1.4.0
2024/10/09 (18:01:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/09 (20:02:22) | ===> btop++ v.1.4.0
2024/10/09 (20:02:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/10 (16:32:38) | ===> btop++ v.1.4.0
2024/10/10 (16:32:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/10 (17:37:10) | ===> btop++ v.1.4.0
2024/10/10 (17:37:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/10 (18:55:11) | ===> btop++ v.1.4.0
2024/10/10 (18:55:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/10 (19:35:07) | ===> btop++ v.1.4.0
2024/10/10 (19:35:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
